54.38.60.0,54.38.60.255,PL
54.38.61.0,54.38.61.255,FR
54.38.62.0,54.38.63.255,PL
54.38.64.0,54.38.71.255,FR
54.38.72.0,54.38.73.71,GB
54.38.73.72,54.38.73.255,NL
54.38.74.0,54.38.75.79,GB
54.38.75.80,54.38.75.255,ES
54.38.76.0,54.38.79.255,GB
54.38.80.0,54.38.95.255,FR
54.38.96.0,54.38.96.255,GB
54.38.97.0,54.38.97.255,DE
54.38.98.0,54.38.98.255,GB
54.38.99.0,54.38.100.103,FR
54.38.100.104,54.38.100.255,BE
54.38.101.0,54.38.104.127,FR
54.38.104.128,54.38.104.255,FI
54.38.105.0,54.38.107.31,FR
54.38.107.32,54.38.107.255,ES
54.38.108.0,54.38.111.239,FR
54.38.111.240,54.38.111.255,ES
54.38.112.0,54.38.112.255,FR
54.38.113.0,54.38.113.255,ES
54.38.114.0,54.38.115.31,FR
54.38.115.32,54.38.115.255,NL
54.38.116.0,54.38.116.255,CZ
54.38.117.0,54.38.117.255,ML
54.38.118.0,54.38.118.255,FR
54.38.119.0,54.38.119.255,ES
54.38.120.0,54.38.121.11,FR
54.38.121.12,54.38.121.255,NL
54.38.122.0,54.38.122.255,PL
54.38.123.0,54.38.124.63,FR
54.38.124.64,54.38.124.255,GB
54.38.125.0,54.38.125.255,BE
54.38.126.0,54.38.127.31,FR
54.38.127.32,54.38.127.255,CZ
54.38.128.0,54.38.130.63,PL
54.38.130.64,54.38.130.255,FR
54.38.131.0,54.38.132.191,PL
54.38.132.192,54.38.132.255,PW
54.38.133.0,54.38.134.127,PL
54.38.134.128,54.38.134.255,FR
54.38.135.0,54.38.140.83,PL
54.38.140.84,54.38.140.255,RS
54.38.141.0,54.38.141.255,BS
54.38.142.0,54.38.143.19,PL
54.38.143.20,54.38.143.255,IT
54.38.144.0,54.38.145.223,GB
54.38.145.224,54.38.145.255,FR
54.38.146.0,54.38.146.255,GB
54.38.147.0,54.38.147.255,NL
54.38.148.0,54.38.149.31,IE
54.38.149.32,54.38.149.255,IT
54.38.150.0,54.38.151.191,GB
54.38.151.192,54.38.151.255,IE
54.38.152.0,54.38.153.31,DE
54.38.153.32,54.38.153.63,FR
54.38.153.64,54.38.155.63,DE
54.38.155.64,54.38.155.255,CZ
54.38.156.0,54.38.159.255,DE
54.38.160.0,54.38.160.255,FR
54.38.161.0,54.38.161.255,BE
54.38.162.0,54.38.163.31,FR
54.38.163.32,54.38.163.255,CZ
54.38.164.0,54.38.165.127,FR
54.38.165.128,54.38.165.255,ES
